,text,full_form,tox_score,real_form
514,nickk3r,nigger,4,
515,nickker,nigger,4,
516,nig,nigger,30,
517,nig-nog,nigger,26,
518,nigah,nigger,29,
519,nignigs,nigger,39,
520,nignog,nigger,28,
521,nigra,nigger,42,
522,niguh,nigger,5,
523,nikk3r,nigger,13,
524,nikkas,nigger,8,
525,nikker,nigger,14,
526,nip,nipple,1,fuck
527,nob jockey,knob,13,fuck
528,nob jokeys,knob,4,fuck
529,nobbyhead,knob,20,fuck
530,nobhead,knob,19,fuck
531,nobheads,knob,18,fuck
532,nobj0key,knob,5,fuck
533,nobjockies,knob,7,fuck
534,nobjocky,knob,4,fuck
535,nobjokey,knob,3,fuck
536,nobjokeys,knob,4,fuck
537,nobs,knob,5,fuck
538,nonce,nonce,1,fuck
539,nuckas,nigger,17,
540,nuggets,nigger,6,
541,nut butter,nut butter,7,fuck
542,nutsack,nutsack,20,fuck
543,nutsacks,nutsack,23,fuck
544,nympho,nymph,10,fuck
545,nymphomaniac,nymph,16,fuck
546,octopussy,pussy,33,
547,oven dodger,oven dodger,3,fuck
548,p3n1shead,penis,19,fuck
549,pack my fudge,fudge packer,13,fuck
550,packerfudgehead,fudge packer,28,fuck
551,packing fudge,fudge packer,9,fuck
552,packing fudgehead,fudge packer,30,fuck
553,packingfudge,fudge packer,9,fuck
554,paki,paki,14,fuck
555,palm jockey,palm jockey,5,fuck
556,pancake face,pancake face,20,fuck
557,pecker,pecker,9,fuck
558,peckerhead,pecker,28,fuck
559,pedo,pedophile,21,fuck
560,pedobear,pedophile,16,fuck
561,pedobears,pedophile,19,fuck
562,pedophl,pedophile,19,fuck
563,pedos,pedophile,20,fuck
564,pedoz,pedophile,15,fuck
565,peen,penis,8,fuck
566,peener,penis,16,fuck
567,peter,peter puffer,1,fuck
568,peter puffer,peter puffer,2,fuck
569,phags,faggot,12,
570,phuc,fuck,2,
571,phucc,fuck,3,
572,phuccer,fuck,13,
573,phucchead,fuck,27,
574,phuccing,fuck,10,
575,phuck,fuck,18,
576,phuck3r,fuck,30,
577,phucked,fuck,19,
578,phucker,fuck,32,
579,phuckin,fuck,27,
580,phucking,fuck,21,
581,phuckings,fuck,20,
582,phucks,fuck,18,
583,phucup,fuck,10,
584,phuk,fuck,14,
585,phuked,fuck,19,
586,phukeds,fuck,19,
587,phuking,fuck,20,
588,phukings,fuck,22,
589,phukk,fuck,19,
590,phukked,fuck,24,
591,phukkeds,fuck,25,
592,Phukking,fuck,20,
593,phuks,fuck,15,
594,phuku,fuck,6,
595,phukup,fuck,13,
596,phuq,fuck,14,
597,phuqs,fuck,13,
598,pillow biter,pillow biter,7,fuck
599,pillow-biter,pillow biter,7,fuck
600,pissoff,piss,25,fuck
601,pissoffs,piss,24,fuck
602,pole licker,pole licker,24,fuck
603,pole smoker,pole smoker,5,fuck
604,polesmoker,polesmoker,6,fuck
605,porch monkey,porch monkey,17,fuck
606,prick,prick,30,fuck
607,prick-gobbler,prick,27,fuck
608,pricks,prick,31,fuck
609,pu$sy,pussy,34,
610,pu55y,pussy,15,
611,pull the pud,pull the pud,8,fuck
612,punani,punani,4,fuck
613,punkasses,ass,27,fuck
614,puss,pussy,23,
615,pusses,pussy,29,
616,pussless,pussy,21,
617,pusslicker,pussy,32,
618,puzzies,pussy,18,
619,puzzy,pussy,19,
620,queerasses,queer,32,fuck
621,queers,queer,27,fuck
622,r3t@rd,retard,28,
623,r3t@rded,retarded,25,
624,r3tard,retard,36,
625,raghead,raghead,16,fuck
626,ragheads,raghead,19,fuck
627,ragtard,retard,31,
628,ramrod,ramrod,1,fuck
629,rat baztad,bastard,25,
630,reacharound,reacharound,1,fuck
631,rectum,rectum,16,fuck
632,redskin,redskin,4,fuck
633,retardo,retard,44,
634,retardotron,retard,31,
635,rice monkey,monkey,13,fuck
636,rim job,rim job,4,fuck
637,s.o.b.,bitch,5,
638,s.o.b.s,bitch,12,
639,S&M,sadomasochism,1,fuck
640,sack,ballsack,13,fuck
641,salad tosser,salad tosser,6,fuck
642,sambo,sambo,5,fuck
643,sausage jockey,sausage jockey,15,fuck
644,schlong,schlong,9,fuck
645,scummy,scum,28,fuck
646,scut,scut,12,fuck
647,sh! +,shit,20,
648,sh!+,shit,21,
649,sh1s,shit,17,
650,sh1t,shit,36,
651,sh1t3,shit,32,
652,sh1te,shit,26,
653,sh1ts,shit,35,
654,sh1tsome,shit,28,
655,sh1tt,shit,30,
656,sh1tty,shit,33,
657,sh3mal3,shemale,5,fuck
658,sh3male,shemale,13,fuck
659,shat,shit,14,
660,she-male,shemale,4,fuck
661,sheeeet,shit,23,
662,sheet,shit,18,
663,sheister,shit,5,
664,shemal3,shemale,25,fuck
665,shemale,shemale,30,fuck
666,shemales,shemale,29,fuck
667,shet,shit,17,
668,shi+,shit,21,
669,shi+e,shit,23,
670,shiat,shit,15,
671,shiddick,shit,24,
672,shiester,shiester,8,fuck
673,shipdit,shit,11,
674,shit3,shit,33,
675,shitdip,shit,32,
676,shitefulls,shit,39,
677,shitti,shit,31,
678,shittings,shit,35,
679,shlong,shlong,4,fuck
680,shmale,shemale,6,fuck
681,shylock,shylock,8,fuck
682,sixty-nine,69,1,fuck
683,sk@nks,skank,20,fuck
684,sk@nky,skank,18,fuck
685,sk@nkz,skank,14,fuck
686,skank,skank,19,fuck
687,skanks,skank,20,fuck
688,skanky,skank,7,fuck
689,skankz,skank,13,fuck
690,sl@nteye,slant eye,5,fuck
691,slag,slag,11,fuck
692,slantard,retard,19,
693,slanteye,slant eye,2,fuck
694,slanteyes,slant eye,2,fuck
695,slanteyeshit,shit,44,
696,slantfreak,slant eye,21,fuck
697,slanty,slant eye,3,fuck
698,slit,slit,14,fuck
699,snatch,snatch,6,fuck
700,snatch licker,snatch,25,fuck
701,soab,bitch,1,
702,soppy bollucks,bollocks,16,fuck
703,spanking,spank,9,fuck
704,sperm,sperm,17,fuck
705,sphincter,sphincter,8,fuck
706,spic,spic,27,fuck
707,spick,spic,9,fuck
708,spics,spic,24,fuck
709,spig,spic,15,fuck
710,spik,spic,5,fuck
711,spix,spic,5,fuck
712,spook,spook,4,fuck
713,spooks,spook,5,fuck
714,spunk,spunk,12,fuck
715,stfu,fuck,23,
716,stump chewer,stump chewer,6,fuck
717,swine,swine,23,fuck
718,tacohead,tacohead,16,fuck
719,tadger,tadger,3,fuck
720,taking the piss,taking the piss,26,fuck
721,tallywacker,tallywacker,6,fuck
722,tar-baby,tar-baby,3,fuck
723,tard,retard,25,
724,tart,tart,2,fuck
725,throat yogurt,throat yogurt,15,fuck
726,throater,throater,10,fuck
727,tickle the pickle,tickle the pickle,5,fuck
728,tits,tit,23,fuck
729,tosser,tosser,7,fuck
730,tossing salad,tossing salad,4,fuck
731,towelhead,towelhead,10,fuck
732,towelheads,towelhead,9,fuck
733,tramp,tramp,1,fuck
734,Tranny,tranny,28,fuck
735,transvestite,transvestite,25,fuck
736,trouser snake,trouser snake,10,fuck
737,trousersnake,trousersnake,7,fuck
738,turdcutter,turd,19,fuck
739,turdhead,turd,34,fuck
740,tw@t,twat,12,fuck
741,twa+,twat,4,fuck
742,twat,twat,34,fuck
743,twatface,twat,29,fuck
744,twats,twat,30,fuck
745,twatt,twat,27,fuck
746,twattish,twat,20,fuck
747,twatzilla,twat,13,fuck
748,twink,twink,5,fuck
749,upskirts,upskirt,3,fuck
750,vag,vagina,15,fuck
751,vajayjay,vagina,1,fuck
752,vulva,vulva,20,fuck
753,w4nk3r,wank,17,fuck
754,w4nker,wank,26,fuck
755,wang,wang,2,fuck
756,wang wrangler,wang,5,fuck
757,wank,wank,27,fuck
758,wank3r,wank,33,fuck
759,wanked,wank,23,fuck
760,wankies,wank,18,fuck
761,wanking,wank,18,fuck
762,wanks,wank,26,fuck
763,we1back,wetback,5,fuck
764,weenie,weenie,7,fuck
765,weiner,weiner,5,fuck
766,wet back,wetback,7,fuck
767,wetback,wetback,13,fuck
768,wetbacks,wetback,19,fuck
769,wh0r3,whore,21,
770,wh0re,whore,26,
771,whack off,whack off,21,fuck
772,whoar,whore,3,
773,whoars,whore,11,
774,whor3,whore,34,
775,wigger,nigger,24,
776,willy-whacker,willy-whacker,13,fuck
777,window licker,window licker,18,fuck
778,wise ass,ass,36,fuck
779,wnker,wank,30,fuck
780,wop,wop,1,fuck
781,wophead,wop,16,fuck
782,zip in the wire,zipperhead,7,fuck
783,zipperhead,zipperhead,25,fuck
